Which type is used for whole numbers?|int|float|double|bool|0
Which type is used for decimal numbers?|float|int|double|char|0
Which type stores a single character?|char|string|int|bool|0
Which type stores true/false values?|bool|logic|int|char|0
Size of int is typically?|4 bytes|1 byte|8 bytes|2 bytes|0
Size of char is?|1 byte|4 bytes|8 bytes|2 bytes|0
Size of float is?|4 bytes|8 bytes|2 bytes|1 byte|0
Size of double is?|8 bytes|4 bytes|2 bytes|16 bytes|0
Which is unsigned integer?|unsigned int|signed int|const int|static int|0
Which keyword declares a constant?|const|final|static|volatile|0
long int stores at least how many bits?|32|16|64|8|0
short int is at least how many bits?|16|32|64|8|0
Which is the largest data type?|long double|int|float|double|3
Which type has no sign bit?|unsigned|signed|const|static|0
What is the range of char?|-128 to 127|0 to 255|0 to 127|-256 to 256|1
Which is not a valid variable name?|2var|var2|my_var|VAR|0
Which symbol is used for comments?|//|**|##|--|0
Which is a keyword?|auto|variable|function|data|0
Which is not a storage class?|global|static|extern|register|0
Default value of local variable?|Garbage|Zero|Null|None|0
Arithmetic operator for addition?|+|-|*|/|0
Operator for subtraction?|-|+|*|/|0
Multiplication operator?|*|/|+|-|0
Division operator?|/|%|*|+|0
Modulo (remainder) operator?|%|/|*|+|0
Increment operator?|++|--|+|-|0
Decrement operator?|--|++|*|/|0
Assignment operator?|=|==|!=|!|0
Equality comparison?|==|=|!=|!|0
Not equal to?|!=|==|!|~|0
Greater than?|>|<|>=|<=|0
Less than?|<|>|<=|>=|0
Greater than or equal?|>=|<=|>|<|0
Less than or equal?|<=|>=|<|>|0
Logical AND?|&&|||!|0
Logical OR?||||||&&|!|0
Logical NOT?|!|~|&|#|0
Bitwise AND?|&|&&|||~|0
Bitwise OR?||||||&&|~|0
Left shift operator?|<<|>>|<|>|0
Right shift operator?|>>|<<|><|<>|0
Bitwise XOR operator?|^|~|&|~|0
Which loop runs at least once?|do-while|while|for|if|0
Which loop checks condition first?|while|do-while|for|switch|0
for loop has how many parts?|3|2|4|5|0
Keyword to skip iteration?|continue|break|return|exit|0
Keyword to exit loop?|break|continue|return|exit|0
Which is selection statement?|if|for|while|do|0
else is paired with?|if|switch|for|while|0
switch uses which keyword for cases?|case|when|match|select|0
Default case in switch?|default|else|otherwise|default_case|0
Which loop is entry-controlled?|for|do-while|while|foreach|0
Which loop is exit-controlled?|do-while|for|while|foreach|0
Nested loops mean?|loop inside loop|parallel loops|sequential loops|separate loops|0
goto is a?|jump statement|loop|function|declaration|0
Which is not a loop?|if|for|while|do-while|0
Infinite loop example?|for(;;)|for(i=0;i<10;i++)|while(i<10)|do-while(true)|0
break works in?|switch and loops|only loops|only switch|functions|0
continue works in?|loops|switch|both|functions|0
Which has fall-through?|switch|if-else|for|while|0
Which needs break in switch?|case|if|else|default|0
else if is used for?|multiple conditions|loop|function|declaration|0
Function without return value?|void|null|none|undefined|0
main() returns?|int|void|bool|char|0
Function definition has?|body and braces|prototype only|declaration|signature|0
Function declaration is also called?|prototype|definition|signature|implementation|0
Parameters are passed in?|parentheses|braces|brackets|angle brackets|0
return statement does what?|exits function and returns value|continues execution|loops|restarts function|0
Can a function return multiple values?|No, only one|Yes, directly|Yes, with arrays|Yes, always|0
How to return multiple values?|using pointers/struct|directly|with arrays|with globals|0
Default return type if not specified?|int|void|char|float|0
Which is a library function?|printf|myfunc|calculate|process|0
Recursion means?|function calls itself|loop structure|array access|pointer use|0
Base case is needed in?|recursion|iteration|function|main|0
static variable in function retains?|value between calls|resets each call|gets deleted|changes type|0
Function without parameters uses?|void func()|func(void)|both|neither|1
Call by value copies?|value|address|reference|pointer|0
Call by reference passes?|address|value|reference|pointer|0
inline function is a?|suggestion to compiler|must inline|optimization|memory saver|0
Function overloading means?|same name, different parameters|different name|same parameters|no name|0
Which cannot be parameter?|function|array|pointer|string|0
return 0 means?|success|failure|error|warning|0
Array index starts from?|0|1|2|-1|0
Array elements are stored in?|contiguous memory|random memory|scattered|linked|0
Size of array must be?|constant|variable|dynamic|unknown|0
String in C ends with?|\0|\n|\r|space|0
gets() function is?|dangerous|safe|recommended|optimized|0
Better alternative than gets()?|fgets()|scanf()|gets_s()|cin|0
strlen() returns?|length without \0|length with \0|buffer size|pointer|0
strcpy() copies?|including \0|without \0|pointers|references|0
strcmp() returns 0 when?|strings are equal|strings differ|first is null|second is null|0
2D array is?|array of arrays|matrix|grid|table|0
int arr[10] wastes memory if?|not fully used|always wastes|never wastes|sometimes|0
String literal is stored in?|read-only memory|stack|heap|registers|0
char name[] = "Hello"; array size?|6|5|7|4|0
Array name is a?|pointer to first element|variable|constant|function|0
arr[i] is equivalent to?|*(arr+i)|arr+i|&arr[i]|arr*i|0
Which is not string function?|stradd|strcat|strcpy|strlen|0
strcat() does what?|concatenates strings|compares strings|copies string|reverses string|0
Which function reverses string?|strrev|reverse|reverse_str|str_reverse|0
Multidimensional array example?|int matrix[2][3]|int arr[5]|int *arr|int arr[]|0
Passing array to function passes?|pointer to first element|copy of array|address|reference|0
Pointer stores?|address|value|reference|type|0
& operator gives?|address of variable|value of variable|pointer|reference|0
* operator does?|dereference pointer|multiply|divide|modulo|0
int *p; means?|p is pointer to int|p is int|p points nowhere|p is array|0
NULL pointer points to?|nothing/zero address|some address|first element|stack|0
Pointer to pointer?|int **pp|int *p|int ***ppp|int p*|0
Array name decays to?|pointer to first element|value|address|reference|0
Pointer arithmetic allowed on?|pointers|integers|strings|characters|0
p++ moves pointer by?|size of data type|1 byte|1 element|unpredictable|0
void pointer can store?|any type address|only void|null only|no address|0
Wild pointer is?|uninitialized pointer|NULL pointer|freed pointer|valid pointer|0
Dangling pointer points to?|freed memory|valid memory|null address|stack|0
const int *p means?|value cannot change|pointer cannot change|both cannot change|nothing|0
int *const p means?|pointer cannot change|value cannot change|both cannot change|nothing|0
Function pointer syntax?|return (*name)(params)|return name(params)|name(return, params)|*name(return)|0
Pointer to function example?|void (*fp)()|void fp()|fp()void|void*fp|0
sizeof(pointer) is usually?|8 bytes (64-bit)|4 bytes|16 bytes|2 bytes|0
Pointer subtraction gives?|number of elements|bytes difference|address|invalid|0
Can we do p + q for two pointers?|No|Yes|Only with arrays|Maybe|0
Pointer to array?|int (*p)[10]|int *p[10]|int []*p|int *p[10]|0
struct defines?|user-defined type|function|variable|constant|0
Structure members accessed using?|.|->|*|&|0
For pointer to struct use?|->|.|*|&|0
Size of struct is?|sum of members + padding|sum only|padding only|variable|0
union shares?|same memory space|separate memory|stack|heap|0
Only one member active in?|union|struct|array|pointer|0
Size of union is?|size of largest member|sum of all|size of first|variable|0
typedef is used for?|create alias for type|declare variable|define function|create array|0
struct student s1; is?|object of struct|type definition|forward declaration|pointer|0
Nested structure allowed?|Yes|No|Sometimes|Never|0
Bit field uses?|colon operator|dot operator|arrow operator|hash|0
enum is?|enumeration type|array type|pointer type|function type|0
enum values start from?|0|1|undefined|10|0
Can enum have same value?|Yes|No|Only at start|Only at end|0
struct packing removes?|padding|members|functions|pointers|0
#pragma pack(1) does what?|remove padding|add padding|increase size|decrease alignment|0
Self-referential struct used in?|linked list|array|stack|queue|0
union example use case?|save memory|increase speed|simplify code|improve readability|0
struct alignment depends on?|largest member|first member|total size|platform|0
Anonymous union allowed?|Yes|No|Sometimes|Never|0
malloc() returns?|void*|int*|void|NULL|0
calloc() initializes to?|zero|garbage|one|random|0
realloc() can?|resize memory|only allocate|only free|combine|0
free() does what?|deallocates memory|resizes memory|allocates memory|copies memory|0
Memory leak happens when?|forget to free()|use after free|double free|proper management|0
malloc(0) returns?|implementation-dependent|NULL|crash|error|0
Which header for malloc?|<stdlib.h>|<string.h>|<stdio.h>|<math.h>|0
calloc(n, size) allocates?|n * size bytes|n bytes|size bytes|n + size bytes|0
realloc(NULL, size) equals?|malloc(size)|free() only|calloc(size)|error|0
free(NULL) is?|safe, no-op|crash|memory leak|error|0
Heap memory is?|dynamically allocated|stack memory|static|global|0
Stack memory is?|automatically freed|manually freed|persistent|never freed|0
Which memory is faster?|stack|heap|equal|depends on data|0
Which has more space?|heap|stack|equal|depends on OS|0
VLA (Variable Length Array) on?|stack|heap|static|global|0
Large arrays should use?|malloc()|static array|automatic array|stack|0
Returning pointer to local var?|dangerous (undefined)|safe|recommended|always works|0
Which causes undefined behavior?|use after free|malloc|free|realloc|0
Double free is?|error - undefined behavior|safe|memory efficient|optimization|0
Best memory practice?|free what you malloc|never free|free often|use globals|0
FILE is a?|structure type|function type|pointer type|typedef|0
fopen() returns?|FILE pointer|file descriptor|status|boolean|0
"r" mode means?|read only|write only|read-write|append|0
"w" mode does what?|create/truncate file|append|read only|update|0
"a" mode means?|append|read|write|update|0
"r+" mode allows?|read and write|read only|write only|append|0
"w+" mode allows?|create and read-write|read only|write only|append|0
"a+" mode allows?|append and read-write|read only|write only|truncate|0
fclose() is?|mandatory for cleanup|optional|automatic|never needed|0
fprintf() writes to?|file stream|stdout|stderr|string|0
fscanf() reads from?|file stream|stdin|string|buffer|0
fgets() reads?|line into string|single char|formatted|unformatted|0
fputs() writes?|string to file|char to file|formatted|unformatted|0
fread() reads?|binary data|text data|single char|line|0
fwrite() writes?|binary data|text data|single item|formatted|0
fseek() moves?|file position indicator|cursor on screen|memory pointer|data pointer|0
SEEK_SET means?|beginning of file|end of file|current position|last position|0
SEEK_CUR means?|current position|beginning|end|start|0
SEEK_END means?|end of file|beginning|current|start|0
ftell() returns?|current file position|file size|line count|character count|0
feof() checks?|end of file reached|error occurred|file opened|file closed|0
ferror() checks?|error flag status|end of file|file size|file name|0
Binary mode uses?|"b" in mode|"t" in mode|"x" in mode|"z" in mode|0
Text vs Binary mode?|newline handling differs|speed difference|memory difference|pointer type|0
Preprocessor runs?|before compilation|during compilation|after compilation|at runtime|0
#include does what?|insert file content|define constant|declare function|allocate memory|0
#define creates?|macro for substitution|variable declaration|function definition|typedef|0
Macro with parameters?|function-like macro|object-like macro|typedef|struct|0
#ifdef checks?|if defined|if not defined|if true|if false|0
#ifndef means?|if not defined|if defined|if zero|if null|0
#elif means?|else if condition|else if defined|else|end if|0
#endif ends?|conditional block|loop|function|file|0
__FILE__ contains?|current filename|line number|date|time|0
__LINE__ contains?|current line number|filename|date|time|0
__DATE__ contains?|compilation date|runtime date|current date|system date|0
__TIME__ contains?|compilation time|runtime time|system time|current time|0
#pragma is?|compiler directive|preprocessor command|function|variable|0
#error does what?|force compilation error|generate warning|skip section|continue|0
#warning does what?|generate warning message|continue silently|force error|skip|0
#undef removes?|macro definition|variable|function|typedef|0
Stringizing operator?|#|##|<>|@|0
Token pasting operator?|##|#|<>|@|0
Macros advantages?|inline substitution|type safety|error checking|memory efficiency|0
Macros disadvantages?|no scope|side effects|hard debug|no type safety|0
Macros vs functions?|macros inlined|functions inline|same speed|same size|0
inline keyword suggests?|inline optimization|type definition|memory allocation|function pointer|0
#line changes?|reported line number|actual line|file position|compilation flag|0
Conditional compilation for?|platform-specific code|debug builds|feature toggling|all above|3
# ======== NEW QUESTIONS (Added for 10-topic coverage) ========
# Topic 1: Variables & Data Types (Additional)
What is implicit type conversion?|automatic by compiler|manual by programmer|not possible|error|0
What is explicit type casting?|manual conversion|(int)x|forced by compiler|automatic|0
Which is valid?|int _x;|int 1x;|int @x;|int x-y;|0
wchar_t stores?|wide characters|single byte char|integer|pointer|0
signed char range is?|-128 to 127|0 to 255|0 to 127|-256 to 255|0
Overflow happens when?|value exceeds type limit|dividing by zero|null pointer|stack full|0
float precision is?|6-7 digits|15 digits|3 digits|20 digits|0
double precision is?|15-16 digits|6 digits|3 digits|20 digits|0
Which stores largest integer?|long long|int|short|char|0
auto keyword in C determines?|type automatically|storage class|nothing|scope|0
register keyword suggests?|store in CPU register|heap storage|global scope|stack|0
extern means?|defined elsewhere|private|constant|local|0
What is scope of local variable?|within function/block|entire program|file only|module|0
Global variable scope?|entire program|function only|block only|file only|0
What happens with uninitialized pointer?|undefined behavior|NULL|zero|compiler error|0
# Topic 2: Operators & Expressions (Additional)
Ternary operator syntax?|cond ? a : b|cond ?? a : b|cond if a else b|cond -> a : b|0
sizeof returns?|size in bytes|number of elements|bit count|memory address|0
sizeof(char) is always?|1|2|4|8|0
Comma operator returns?|last expression value|first value|sum|boolean|0
Precedence: * vs +?|* is higher|+ is higher|same|depends|0
Associativity of = operator?|right to left|left to right|none|both|0
What does a += b mean?|a = a + b|a = b|a + b = a|b = a + b|0
What does a <<= 2 mean?|a = a << 2|a = 2 << a|shift a right|undefined|0
Cast operator priority?|very high|very low|medium|lowest|0
Address operator & returns?|memory address|value|pointer|reference|0
Conditional expression is also called?|ternary|binary|unary|quaternary|0
Pre-increment vs post-increment?|pre increments first|same|post increments first|no difference|0
Which is unary operator?|!|+|*|/|0
Which has highest precedence?|()|+|*|/|0
What is short-circuit evaluation?|skip second operand if result known|evaluate all|random|error|0
# Topic 3: Control Structures (Additional)
Nested if means?|if inside if|parallel ifs|sequential ifs|no nesting|0
switch expression must be?|integer or char|float|double|string|0
Maximum nesting depth?|compiler dependent|10|5|unlimited|0
Which cannot have break?|if-else|switch|for|while|0
What is ladder if-else?|multiple else-if chain|nested if|parallel if|no such thing|0
for(i=0; i<10; i++) runs how many times?|10|9|11|undefined|0
while(1) creates?|infinite loop|syntax error|single iteration|no loop|0
do { } while(0) runs?|exactly once|zero times|infinite|error|0
Which is valid?|if(x)|if[x]|if{x}|if<x>|0
Comma in for: for(i=0,j=0; ...)?|initializes both|error|warning|only first|0
Can switch have no default?|Yes|No|Error|Warning|0
goto label must be in?|same function|any function|different file|global scope|0
Dangling else associates with?|nearest unmatched if|first if|last if|no if|0
Empty statement is?|single semicolon|no semicolon|empty braces|comment|0
What is selection sort loop pattern?|nested for loops|single while|do-while|recursion|0
# Topic 4: Functions (Additional)
What is function signature?|name + parameters|body only|return only|nothing|0
Actual parameters are?|values in function call|in definition|types|names|0
Formal parameters are?|variables in definition|in call|return type|body|0
Can main() call itself?|Yes recursion|No|Error|Crash|0
What is tail recursion?|recursive call is last|first call|middle call|no recursion|0
Stack overflow from?|too deep recursion|malloc|global vars|stdio|0
Pass array to function?|passes pointer|copies entire array|passes by value|not possible|0
Default argument in C?|not supported|supported|sometimes|compiler specific|0
void function can have return?|yes, return without value|no|always|never|0
What is callback function?|function passed as argument|recursive function|main function|library function|0
# Topic 5: Arrays & Strings (Additional)
Array initialization: int a[3] = {1}?|{1,0,0}|{1,1,1}|error|{1,garbage,garbage}|0
String comparison using ==?|compares addresses not content|compares content|always true|error|0
Which finds string length?|strlen()|sizeof()|length()|size()|0
strncat() is safer than?|strcat()|strcpy()|strlen()|strcmp()|0
snprintf() advantage?|prevents buffer overflow|faster|shorter|none|0
Jagged array in C?|using pointer arrays|not possible|automatic|struct|0
Character array vs string literal?|array is modifiable|literal is modifiable|both same|neither modifiable|0
atoi() converts?|string to integer|integer to string|float to int|char to int|0
itoa() converts?|integer to string|string to int|float to string|char to string|0
Null character ASCII value?|0|48|65|32|0
# Topic 6: Pointers (Additional)
What is near pointer?|accesses data within segment|any memory|NULL|far memory|0
What is far pointer?|accesses data outside segment|near memory|NULL|stack only|0
Pointer comparison is valid when?|same array|always|never|different arrays|0
Generic pointer in C?|void *|int *|char *|NULL *|0
Pointer to constant vs constant pointer?|different things|same|no difference|error|0
int (*arr)[5] is?|pointer to array of 5|array of 5 pointers|syntax error|int pointer|0
int *arr[5] is?|array of 5 pointers|pointer to array|syntax error|single pointer|0
What does *p++ do?|dereference then increment pointer|increment value|error|both|0
What does (*p)++ do?|increment pointed value|increment pointer|error|nothing|0
restrict keyword means?|pointer is only access path|constant pointer|null pointer|volatile|0
# Topic 7: Structures & Unions (Additional)
Flexible array member?|last member with size 0|first member|any member|not possible|0
Structure pointer -> member?|arrow operator|dot operator|star operator|ampersand|0
Can struct contain pointer to itself?|Yes|No|Sometimes|Error|0
Designated initializer?|.member = value|member: value|member = value|[member] = value|0
Anonymous struct in C11?|allowed|not allowed|error|warning|0
offsetof() returns?|member offset in bytes|size|alignment|count|0
Struct assignment copies?|all members|pointer only|first member|nothing|0
Struct comparison using ==?|not allowed|compares all|compares first|compares size|0
Struct padding purpose?|memory alignment|save space|speed|readability|0
Union initialization initializes?|first member only|all members|last member|random member|0
# Topic 8: Dynamic Memory (Additional)
What is memory fragmentation?|scattered free blocks|contiguous blocks|full memory|empty memory|0
Which causes memory leak?|lost pointer to allocated memory|free()|realloc()|calloc()|0
mmap() is used for?|memory-mapped files|malloc|free|calloc|0
alloca() allocates on?|stack|heap|global|static|0
What is buffer overflow?|writing beyond allocated|underflow|normal|safe|0
ASAN detects?|memory errors|compile errors|logic errors|syntax errors|0
Valgrind is used for?|memory debugging|compilation|linking|optimization|0
Memory pool advantage?|faster allocation|slower|more memory|no advantage|0
Which is thread-safe?|none by default|malloc|free|calloc|0
sbrk() does what?|adjusts heap boundary|frees memory|allocates stack|creates thread|0
# Topic 9: File Handling (Additional)
tmpfile() creates?|temporary file|permanent file|directory|link|0
rename() does what?|renames file|deletes file|copies file|moves cursor|0
remove() does what?|deletes file|renames file|copies file|creates file|0
perror() prints?|error message with description|file content|variable value|nothing|0
stdin is?|standard input stream|file pointer|socket|pipe|0
stdout is?|standard output stream|file|socket|pipe|0
stderr is?|standard error stream|file|socket|pipe|0
fflush() does what?|flushes output buffer|closes file|opens file|reads file|0
setvbuf() controls?|buffering mode|file position|file size|permissions|0
What is unbuffered I/O?|write immediately|buffer first|cache|lazy write|0
# Topic 10: Preprocessor & Macros (Additional)
Include guard pattern?|ifndef-define-endif|ifdef-define-endif|pragma-once|if-endif|0
#pragma once does?|include file once only|include multiple|error|warning|0
Variadic macros use?|__VA_ARGS__|...|varargs|va_list|0
__func__ contains?|current function name|file name|line number|date|0
_Static_assert is?|compile-time assertion|runtime assertion|warning|error|0
Which runs at compile time?|preprocessor|main()|printf()|scanf()|0
Macro vs enum for constants?|enum is type-safe|macro is safer|same|neither safe|0
What is X-macro technique?|code generation pattern|deletion|linking|optimization|0
Header file extension?|.h|.c|.o|.a|0
Object-like macro example?|#define PI 3.14|#define f(x) x*x|inline|typedef|0
